iso2c,country,year,status,lastupdated,agrid_land_km,agrid_land_per,arable_per,rural_below_5,rural_below_5_per,urban_below_5,urban_below_5_per,land_below_5_per,forest_km,forest_per,irrigated_land_per,avg_precip_mm,cereal_yield,pop_growth,pop_tot,urban_pop_growth,urban_pop,urban_pop_per,for_invest_per,ease_business,cpia_public_sec,school_enroll,school_complete,mort_rate,health_workers,underweight_5_per,pov_headcount,elec_access_per,coal_power_per,hydro_power_per,gas_power_per,nuke_power_per,oil_power_per,renew_power_per,renew_non_hydro,renew_non_hydro_per,renew_consum_per,energy_use_oil_eqiv,elec_consum_kw,energy_use_oil_percap,co2_intensity,co2_gaseous_kt,co2_gaseous_per,co2_emissions,co2_emissions_met,co2_liquid_kt,co2_liquid_per,co2_emmision_mt,co2_emission_ppp,co2_emission_2017,co2_solid_kt,co2_solid_per,other_greenhouse_mt,other_greenhouse_per,total_greenhouse_mt,total_greenhouse_per,hfc_emissions_mt,methane_mt,methane_per,no_emission_mt,no_emission_per,pfc_emission_mt,sf6_emission_mt,disaster_risk_score,ghg_emission_mt,dro_flood_extemp_per,rural_pop_below_5,urban_pop_below_5,pop_below_5_per,pop_agglo_mil_per,water_withdrawals_cub,water_withdrawals_per,terr_protect_per,marine_protect_per,terr_mari_protect_per,agri_forest_fish_gdp_per,iso3c,region,capital,longitude,latitude,income,lending
CR,Costa Rica,2012,,4/8/2022,18120,35.48766157,4.543674109,NA,NA,NA,NA,NA,29039.32,56.8729338,NA,2926,3621.5,1.178352346,4688003,2.646915393,3466591,73.946,5.70866168,NA,NA,1.010069966,102.4104004,9.9,NA,NA,1.6,99.503298,0,71.09298211,0,0,8.158049931,91.84195007,2111000000,20.74896796,38.06480026,56.09797918,1942.831521,1009.457119,1.574274703,0,0,0.145194858,7450,6343.91,85.15315436,1.589162806,0.110963291,0.08831363,297.027,3.986939597,364.9263,838.3000518,14230,42.82567901,NA,4490,-38.58314515,1830,-15.77780668,NA,NA,NA,NA,NA,NA,NA,NA,26.43225698,2.339,2.069911504,NA,NA,NA,5.130841914,CRI,Latin America & Caribbean,San Jose,-84.0089,9.63701,Upper middle income,IBRD
CU,Cuba,2012,,4/8/2022,64056,60.06244784,29.39455597,NA,NA,NA,NA,NA,30328,28.43720991,NA,1335,2803.2,0.181748047,11257112,0.301634921,8643323,76.781,NA,NA,NA,0.997210026,94.92070007,6.1,NA,NA,NA,97.92878723,0,0.602344259,11.35228999,0,45.08356848,3.711743,573000000,3.109398741,18.61090088,NA,1379.216979,1065.342603,2.405633903,1987.514,6.889129983,0.359021029,28850,26835.106,93.01596534,2.562824284,NA,NA,14.668,0.050842288,-699.1748047,-68.57438253,46190,-8.108686256,NA,13330,-29.03456612,3650,-39.08533337,NA,NA,NA,NA,NA,NA,NA,NA,18.90650106,6.645383333,17.43279993,NA,NA,NA,3.850097756,CUB,Latin America & Caribbean,Havana,-82.3667,23.1333,Upper middle income,Not classified
CV,Cabo Verde,2012,,4/8/2022,840,20.84367246,13.64764268,NA,NA,NA,NA,NA,433.2,10.74937965,NA,228,196.2,1.271405705,505241,2.068847214,317397,62.821,7.349250424,NA,4,1.036640048,97.75907898,24,NA,NA,NA,80.95207977,NA,NA,NA,NA,NA,18.36674843,NA,NA,24.25970078,NA,NA,NA,NA,0,0,0.340012687,530,506.046,95.48037736,1.049004337,0.180275273,0.165101132,0,0,437.4147893,-100,730,NA,NA,120,82.00861946,80,84.95040212,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0253,8.433333333,NA,NA,NA,8.446544468,CPV,Sub-Saharan Africa,Praia,-23.5087,14.9218,Lower middle income,Blend
CW,Curacao,2012,,4/8/2022,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.157657658,NA,NA,NA,0.829929595,152088,0.694728326,136353,89.654,2.226128891,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,3.489640131,NA,NA,0.712499976,477.7229873,5062.858345,13395.36979,NA,0,NA,NA,NA,5999.212,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.239488136,CUW,Latin America & Caribbean,Willemstad,,,High income,Not classified
CY,Cyprus,2012,,4/8/2022,1169,12.65151515,9.285714286,NA,NA,NA,NA,NA,1727.88,18.7,20.95808383,498,2399.3,0.903504248,1135046,0.688071135,763443,67.261,280.1318331,NA,NA,1.008550048,100.0641403,3.1,NA,NA,0,100,0,0,0,0,94.55162179,5.448378206,257000000,5.448378206,8.729599953,72.31275486,4035.078755,1961.81212,3.152580872,0,0,0.335002076,7020,6406.249,91.25710826,6.184771366,0.25524235,0.227971808,0,0,31.72943115,875606.2147,8370,44.84747212,NA,690,45.72658591,390,31.08166976,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2553,32.73076923,NA,NA,NA,2.006895095,CYP,Europe & Central Asia,Nicosia,33.3736,35.1676,High income,Not classified
CZ,Czech Republic,2012,,4/8/2022,42250,54.70672019,40.87789719,NA,NA,NA,NA,NA,26617.84,34.46567396,0.473372781,677,4529.5,0.139925656,10510785,0.156317297,7693579,73.197,4.516567468,NA,NA,1.000869989,100.9904404,3.2,NA,NA,0,100,53.71855065,2.455962255,1.706138175,34.98102368,0.130354032,9.303586466,5936000000,6.847624211,12.80430031,120.3417539,6304.571923,4054.085018,2.515041908,15702.094,14.651576,0.61396991,107170,18899.718,17.6352692,10.19619372,0.348531444,0.302664554,67036.427,62.55148549,-7003.050293,645.6980411,128370,-29.17807323,NA,13590,-34.77391866,5140,-26.91434403,NA,NA,NA,NA,NA,NA,NA,NA,11.87160616,1.8404,13.99543726,NA,NA,NA,2.251185645,CZE,Europe & Central Asia,Prague,14.4205,50.0878,High income,Not classified
DE,Germany,2012,,4/8/2022,166640,47.81086819,33.95306134,NA,NA,NA,NA,NA,114130,32.74516555,NA,700,6964.9,0.187727801,80425823,0.200687484,62064608,77.17,1.855307283,NA,NA,0.961369991,98.65313721,4,NA,NA,0,100,46.01646898,3.487954492,12.4418407,15.94630907,1.222828265,23.00045854,1.22E+11,19.51250405,13.64190006,77.73727377,7270.152523,3876.948104,2.437471349,159910.536,21.04030631,0.235934702,760020,252436.28,33.21442594,9.449949925,0.217943586,0.189482378,309597.476,40.73543801,-15410.49609,-44.17811069,866670,-24.23084242,NA,59220,-51.75101876,35540,-38.95972688,NA,NA,NA,NA,NA,NA,NA,NA,9.529089929,27.88066667,26.05669782,NA,NA,NA,0.847918814,DEU,Europe & Central Asia,Berlin,13.4115,52.5235,High income,Not classified
DJ,Djibouti,2012,,4/8/2022,17020,73.4253667,0.086281277,NA,NA,NA,NA,NA,56,0.241587575,NA,220,2000,1.680251075,868136,1.776269719,669663,77.138,8.126150917,NA,2.6,0.992999971,NA,72.2,NA,29.9,18.2,54.6,NA,NA,NA,NA,NA,0,NA,NA,32.48279953,NA,NA,NA,NA,0,0,NA,510,480.377,94.19156863,0.587465558,NA,NA,0,0,-810.9980897,-71.66666667,1460,51.86178515,NA,670,51.83075589,260,37.44218438,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,6.333333333,NA,NA,NA,NA,DJI,Middle East & North Africa,Djibouti,43.1425,11.5806,Lower middle income,IDA
DK,Denmark,2012,,4/8/2022,26240,65.6,60.45,NA,NA,NA,NA,NA,6017.66,15.04415,NA,703,6309.7,0.376272243,5591572,0.588807879,4872608,87.142,-4.997670326,NA,NA,1.002449989,98.25849152,4.1,NA,NA,0,100,34.32787206,0.055372789,13.65427836,0,1.312660825,48.32741605,14820000000,48.27204326,26.91200066,60.36322445,6038.552307,3091.58158,2.210356908,7979.392,20.88299398,0.132516791,38210,18034.306,47.19786967,6.833498701,0.152519943,0.13342427,9361.851,24.50104946,-2791.543091,-43.88839604,51390,-25.91027262,NA,7470,-4.744264395,4850,-35.58174451,NA,NA,NA,NA,NA,NA,NA,NA,21.86741045,0.7285,12.14166667,NA,NA,NA,1.65472753,DNK,Europe & Central Asia,Copenhagen,12.5681,55.6763,High income,Not classified
DM,Dominica,2012,,4/8/2022,250,33.33333333,8,NA,NA,NA,NA,NA,478.7,63.82666667,NA,2083,1666.7,0.059210806,70954,0.491613747,48735,68.685,4.763904236,NA,3.8,NA,97.30413055,27.1,NA,NA,NA,96.76944733,NA,NA,NA,NA,NA,22.32620321,NA,NA,11.14410019,NA,NA,NA,NA,0,0,0.465202221,250,165.015,66.006,3.523409533,0.354224355,0.297654751,0,0,102.4221829,-100,320,70.53815331,NA,40,11.7337005,20,-13.91071038,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,10,NA,NA,NA,12.01960082,DMA,Latin America & Caribbean,Roseau,-61.39,15.2976,Upper middle income,Blend
DO,Dominican Republic,2012,,4/8/2022,23520,48.68557235,16.55971848,NA,NA,NA,NA,NA,20853.32,43.16563858,NA,1410,3747.7,1.192236521,9930916,2.486831936,7527833,75.802,5.629224568,NA,NA,0.986469984,93.52136993,35,NA,NA,2.6,97.86705,12.76286743,12.94876264,22.69664227,0,50.06390148,14.47658882,263000000,1.527826188,16.59259987,61.67997041,1499.358166,815.3903426,2.67240567,1991.181,9.201390943,0.365040208,21640,15925.781,73.59418207,2.179053775,0.1831063,0.164833903,1987.514,9.184445471,-467.7473145,-69.70269956,34160,96.42837607,NA,8780,14.29178314,2970,2.840266175,NA,NA,NA,NA,NA,NA,NA,NA,27.52294954,7.92476,33.72238298,NA,NA,NA,5.401093851,DOM,Latin America & Caribbean,Santo Domingo,-69.8908,18.479,Upper middle income,IBRD
DZ,Algeria,2012,,4/8/2022,413981.9,17.38149,3.151687422,NA,NA,NA,NA,NA,19332,0.811675498,2.519240575,89,1677.6,1.951463675,37383899,2.941620659,25763114,68.915,0.717693336,NA,NA,NA,101.5528793,26.2,NA,3,NA,98.76466047,0,1.083680332,97.0712755,0,1.845044166,1.083680332,0,0,0.180399999,109.4534353,1237.966109,1229.54703,2.755124076,64168.833,50.67027243,0.844280051,126640,48580.416,38.36103601,3.387554626,0.254639647,0.301557795,1037.761,0.819457517,1332.548828,202.6866021,189820,65.78502652,NA,48690,50.24121191,10030,49.94734005,NA,NA,NA,NA,NA,NA,NA,NA,6.673782208,7.8,69.33333333,NA,NA,NA,8.770686355,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
EC,Ecuador,2012,,4/8/2022,75069,30.22588178,4.621919794,NA,NA,NA,NA,NA,129445.86,52.12025286,12.62838189,2274,3258.8,1.49891549,15474099,1.716650894,9746825,62.988,0.645345742,NA,NA,1.028079987,108.2071304,17.3,NA,6.4,4.5,97.194929,0,53.56501948,10.22891408,0,34.90173765,54.86934827,298000000,1.304328796,13.20170021,69.55793681,1277.037196,795.142903,2.977051589,2636.573,7.197851488,0.402233012,36630,25830.348,70.51692056,2.367181443,0.229569252,0.207077566,0,0,-1012.712402,-84.83454202,63970,70.9249596,NA,21530,43.67933595,5300,70.1316525,NA,NA,NA,NA,NA,NA,NA,NA,27.38098031,9.9158,2.24136528,NA,NA,NA,8.642412749,ECU,Latin America & Caribbean,Quito,-78.5243,-0.229498,Upper middle income,IBRD
EE,Estonia,2012,,4/8/2022,9559,22.55012975,14.63788629,NA,NA,NA,NA,NA,23700.16,55.90979004,NA,626,3412,-0.357944411,1322696,-0.344754608,899089,67.974,7.764141115,NA,NA,0.99229002,103.8179398,3.9,NA,NA,0.7,100,4.228294476,0.350965154,1.052895463,0,0.484666165,12.34227459,1435000000,11.99130943,25.02169991,143.9576951,6689.367776,4174.387766,3.039058971,1250.447,7.452008343,0.780644945,16780,1235.779,7.364594756,12.68621059,0.488005376,0.437495925,14418.644,85.92755662,-3235.992676,-99.54128965,19460,-58.24717823,NA,1180,-34.41392715,1310,-52.2510059,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.631,12.83241542,NA,NA,NA,3.315463209,EST,Europe & Central Asia,Tallinn,24.7586,59.4392,High income,Not classified
EG,"Egypt, Arab Rep.",2012,,4/8/2022,36960,3.712893666,2.841930785,NA,NA,NA,NA,NA,587.52,0.059020543,NA,18.1,7269,2.214740995,86422240,2.089079975,37114895,42.946,1.002340718,NA,NA,0.985279977,NA,26.3,NA,NA,1.5,99.7,0,7.970090143,75.95973953,0,15.16084749,8.87941298,1497000000,0.909322837,5.289800167,87.91157445,1685.468926,905.5866059,2.714060033,92995.12,43.78095193,0.707866198,212410,97780.555,46.03387552,2.457816414,0.221569756,0.238597291,1804.164,0.84937809,-12191.98438,91.75480614,293980,112.4343926,NA,56000,92.55355754,22630,31.69492832,NA,NA,NA,NA,NA,NA,NA,NA,25.63289727,63.7,6370,NA,NA,NA,11.27276527,EGY,Middle East & North Africa,Cairo,31.2461,30.0982,Lower middle income,IBRD
ER,Eritrea,2012,,4/8/2022,75920,75.16831683,6.831683168,NA,NA,NA,NA,NA,10805.4,10.69841584,NA,384,689.4,NA,NA,NA,NA,NA,NA,NA,2.6,0.818639994,66.08583832,51.2,NA,NA,NA,42.0842514,0,0,0,0,99.44289694,0.557103064,2000000,0.557103064,78.54350281,NA,92.92010348,240.7122972,0.805276478,0,0,NA,630,531.715,84.39920635,0.193839951,NA,NA,0,0,33.91911888,NA,7530,49.25122003,NA,3550,39.75706938,3320,22.18701102,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.582,20.78571429,NA,NA,NA,NA,ERI,Sub-Saharan Africa,Asmara,38.9183,15.3315,Low income,IDA
ES,Spain,2012,,4/8/2022,269420,53.86137822,25.12944563,NA,NA,NA,NA,NA,185476.76,37.07977849,13.00571598,636,2842.5,0.064925963,46773055,0.35558183,36904876,78.902,1.573683796,NA,NA,1.001449943,99.32010651,3.6,NA,NA,0.9,100,19.04831565,6.989474114,24.93961394,20.91228882,5.212252757,29.58474801,66417000000,22.5952739,15.79880047,75.01840766,5573.401182,2683.367935,2.145418433,65444.949,24.30458239,0.233782085,269270,133093.765,49.42762469,5.756947029,0.181491969,0.160945875,58290.632,21.6476518,12907.07813,105.4988517,342540,18.72013984,NA,38660,13.40822817,18250,-20.29094504,NA,NA,NA,NA,NA,NA,NA,NA,23.5729118,36.75,33.04856115,NA,NA,NA,2.408304149,ESP,Europe & Central Asia,Madrid,-3.70327,40.4167,High income,Not classified
ET,Ethiopia,2012,,4/8/2022,364880,32.31287375,13.59003948,NA,NA,NA,NA,NA,176525,15.63261905,NA,848,2046.8,2.829627968,92726982,5.197758315,16839220,18.16,0.643172898,NA,3.4,0.922720015,50.30796814,73.5,NA,NA,NA,35.20266342,0,97.31296101,0,0,0.158061117,99.84193888,192000000,2.528977871,93.29620361,340.337992,57.21096369,489.1938681,0.186501888,0,0,0.176296052,8460,6153.226,72.73316785,0.09123558,0.075177886,0.063473678,594.054,7.021914894,1089.727886,20910.53823,140650,175.3203116,NA,87230,61.27798246,44600,57.65694594,NA,NA,NA,NA,NA,NA,NA,NA,3.672582593,9.571009091,7.845089419,NA,NA,NA,44.33094275,ETH,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Low income,IDA
EU,European Union,2012,,4/8/2022,1682427.2,42.12809865,25.46126881,NA,NA,NA,NA,NA,1572707.33,39.38070518,NA,NA,4821.251305,0.147238215,441395937,0.405696356,323794326,73.35688824,4.017442237,NA,NA,0.993120015,97.41693878,4.543439823,NA,NA,NA,100,26.58530607,11.37973127,16.63280467,27.95115748,2.461128124,25.00920753,3.96E+11,13.63334995,16.15910327,83.37360302,6248.063856,3288.247279,2.106655641,751421.8268,24.52106268,0.234586109,3057640,1213208.615,39.67794165,6.927204679,0.198279937,0.175639471,984236.4391,32.17085998,-36963.86743,-26.58032706,3788200,-17.40170619,NA,418960,-29.19710976,214250,-39.78495533,NA,NA,NA,NA,NA,NA,NA,NA,16.94269948,NA,NA,NA,NA,NA,1.695554141,EUU,Aggregates,,,,Aggregates,Aggregates
F1,Fragile and conflict affected situations,2012,,4/8/2022,6607347.36,33.12220539,8.981110113,NA,NA,NA,NA,NA,4834448.93,24.23478011,NA,NA,1522.690265,2.504928197,772742559,3.522471205,303395882,39.35425194,2.494052281,NA,2.78,0.887679994,69.18032074,94.30278994,NA,NA,36,47.46182279,2.489930767,36.95851024,29.04895405,0.550538653,21.76283345,39.70203159,449000000,0.106963157,59.89386824,156.578692,468.4064842,698.642011,1.508727179,169460.5005,20.50784588,0.520570506,723565.5121,467006.6926,64.82822463,0.936360375,0.222379367,0.229045027,26031.98574,1.676858973,48393.74567,-9.169518038,2008160,3.48729475,NA,889230,27.90249846,375460,27.86083644,NA,NA,NA,NA,NA,NA,NA,NA,15.28836599,NA,NA,NA,NA,NA,14.45444643,FCS,Aggregates,,,,Aggregates,Aggregates
FI,Finland,2012,,4/8/2022,22851,7.519497186,7.401033269,NA,NA,NA,NA,NA,223088,73.41077364,NA,536,3533.6,0.475809487,5413971,1.100086716,4593267,84.841,1.909019977,NA,NA,1.021880031,100.0309677,2.8,NA,NA,0.1,100,10.78382639,23.94370198,9.552484697,32.64688756,0.443112582,40.56184403,11701000000,16.61814205,38.81140137,136.5715815,15689.22331,6275.770964,1.454225793,6882.959,13.93029549,0.209226275,49410,23476.134,47.51292046,9.126388006,0.223285952,0.198605916,18008.637,36.44735276,-6284.268066,104.0800729,60380,-8.579336138,NA,4940,-15.06700806,4580,-28.99837975,NA,NA,NA,NA,NA,NA,NA,NA,21.54804671,6.562,6.13271028,NA,NA,NA,2.314499321,FIN,Europe & Central Asia,Helsinki,24.9525,60.1608,High income,Not classified
FJ,Fiji,2012,,4/8/2022,4250,23.26217843,9.031198686,NA,NA,NA,NA,NA,10865.92,59.47411056,NA,2592,2423.4,0.186749844,865065,1.155768915,460180,53.196,6.981691701,NA,NA,1.048570037,106.2605286,23.5,NA,NA,NA,91.02597809,NA,NA,NA,NA,NA,66.23115866,NA,NA,33.44929886,NA,NA,NA,NA,0,0,0.254240777,1030,986.423,95.7692233,1.190661973,0.134697645,0.109040213,0,0,-216.6976032,-35,2350,-3.035459305,NA,920,12.50090916,350,-2.95730459,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0849,0.29737303,NA,NA,NA,9.675778707,FJI,East Asia & Pacific,Suva,178.399,-18.1149,Upper middle income,Blend
FM,"Micronesia, Fed. Sts.",2012,,4/8/2022,220,31.42857143,2.857142857,NA,NA,NA,NA,NA,641.86,91.69428571,NA,NA,1674.3,1.017541503,104506,1.103364353,23330,22.324,0,NA,2.9,NA,NA,31.6,NA,NA,NA,68.60435486,NA,NA,NA,NA,NA,1.060927554,NA,NA,1.4648,NA,NA,NA,NA,0,0,0.404382584,130,124.678,95.90615385,1.243947716,0.367138532,0.340858986,0,0,NA,NA,210,NA,NA,50,43.32063558,30,71.67694749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.10718576,FSM,East Asia & Pacific,Palikir,158.185,6.91771,Lower middle income,IDA
FO,Faroe Islands,2012,,4/8/2022,30,2.148997135,2.148997135,NA,NA,NA,NA,NA,0.8,0.05730659,NA,NA,NA,0.05854189,47843,0.391171217,19723,41.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,37.9151861,NA,NA,4.700900078,NA,NA,NA,NA,0,NA,NA,NA,590.387,NA,NA,NA,NA,0,NA,NA,-100,NA,NA,NA,NA,16.81518665,NA,7.340805445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.48942131,FRO,Europe & Central Asia,Torshavn,-6.91181,61.8926,High income,Not classified
FR,France,2012,,4/8/2022,288448,52.67908181,33.38775689,NA,NA,NA,NA,NA,165858,30.29054509,NA,867,7254.5,0.483998961,65659814,0.809077603,51791148,78.878,1.227526406,NA,NA,1.00304997,NA,4.1,NA,NA,0.1,100,3.701124426,10.48464427,3.895582114,75.96277983,1.109426644,14.82735407,24320000000,4.342709801,12.52939987,89.66112536,7363.423235,3836.656299,1.335097749,87534.957,26.02650879,0.141621825,336330,194105.311,57.71275563,5.12231119,0.13594562,0.119706367,42702.215,12.69652276,9504.890625,78.36396816,456320,-10.01264095,NA,63110,7.167048626,37240,-50.09334918,NA,NA,NA,NA,NA,NA,NA,NA,22.50656391,28.063,14.0315,NA,NA,NA,1.631795037,FRA,Europe & Central Asia,Paris,2.35097,48.8566,High income,Not classified
GA,Gabon,2012,,4/8/2022,21413.54,8.310451353,1.261303217,NA,NA,NA,NA,NA,236256.46,91.68954865,NA,1831,1600.6,3.788583795,1749677,4.416144187,1515815,86.634,3.944723419,NA,NA,NA,NA,57.1,NA,6.4,NA,89.3,0,41.95933457,43.76155268,0,13.7245841,42.51386322,12000000,0.554528651,75.46790314,137.4190453,988.7539243,2072.644265,1.607629262,715.065,12.26526587,0.463994486,5830,2310.21,39.62624357,3.332043571,0.2169831,0.220918878,0,0,1601.549957,466.0693978,8030,181.5918167,NA,1090,11.94283743,430,172.7759263,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1391,0.084817073,NA,NA,NA,3.353697777,GAB,Sub-Saharan Africa,Libreville,9.45162,0.38832,Upper middle income,IBRD
GB,United Kingdom,2012,,4/8/2022,171820,71.02054313,25.67684868,NA,NA,NA,NA,NA,30974,12.80287687,NA,1220,6215.1,0.695353132,63700215,1.02214552,52130345,81.837,1.719311046,NA,NA,0.999750018,NA,4.8,NA,NA,0.2,100,40.05150157,1.468100414,27.72195817,19.55754204,0.69474345,11.42396018,35840000000,9.955859762,4.769100189,71.17044974,5449.259473,3042.859871,2.4097302,152044.821,32.55220112,0.171357968,467080,164545.624,35.22857412,7.332471327,0.190384441,0.171501582,145642.239,31.18143337,21393.38672,-2.697704775,573410,-24.63375595,NA,61440,-49.80251989,28560,-55.3541662,NA,NA,NA,NA,NA,NA,NA,NA,26.29891124,8.017,5.528965517,NA,NA,NA,0.637404835,GBR,Europe & Central Asia,London,-0.126236,51.5002,High income,Not classified
GD,Grenada,2012,,4/8/2022,80,23.52941176,8.823529412,NA,NA,NA,NA,NA,177,52.05882353,NA,2350,1028.6,0.621740443,107452,0.650755869,38542,35.869,3.936812274,NA,3.7,NA,NA,15.5,NA,NA,NA,90.39653778,NA,NA,NA,NA,NA,0,NA,NA,11.37759972,NA,NA,NA,NA,0,0,0.492652083,420,271.358,64.60904762,3.908722034,0.350124212,0.295958935,0,0,-40.56001256,50.28058361,2410,359.8984646,NA,1970,48.18676643,10,168.7630329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.832211185,GRD,Latin America & Caribbean,Saint George's,-61.7449,12.0653,Upper middle income,Blend
GE,Georgia,2012,,4/8/2022,24350,35.0410131,5.324507123,NA,NA,NA,NA,NA,28224,40.61591596,NA,1026,2186.4,-0.736565519,3728874,-0.05219008,2099468,56.303,5.87198283,NA,4,NA,101.4368134,12.1,NA,NA,8.5,100,0,74.50232078,25.49767922,0,0,74.50232078,0,0,28.68969917,87.97464297,2329.92587,993.7399333,1.940342693,3773.343,52.48043115,0.536026354,7190,2720.914,37.84303199,1.928196018,0.196233021,0.170700956,1180.774,16.42244784,315.7380371,8.311861592,15260,-61.72809374,NA,5740,-0.318513906,2170,-19.66368933,NA,NA,NA,NA,NA,NA,NA,NA,28.93412328,1.823,3.136074316,NA,NA,NA,8.175617854,GEO,Europe & Central Asia,Tbilisi,44.793,41.71,Upper middle income,IBRD
GH,Ghana,2012,,4/8/2022,148360.66,65.20201283,20.65570889,NA,NA,NA,NA,NA,79179.34,34.79798717,0.202209939,1187,1768.1,2.369482728,25996454,3.681995391,13537133,52.073,7.982660011,NA,3.7,0.963100016,93.86432648,62.7,NA,NA,11.2,56.51,0,67.12408516,12.084165,0,0,67.12408516,0,0,46.54050064,72.36508986,342.200517,329.1583537,1.661807069,803.073,5.647489451,0.337451278,14220,11763.736,82.7266948,0.546997679,0.144636999,0.120256818,0,0,1645.906738,350.5251879,35340,265.4252047,NA,15230,165.9752016,5220,244.8724614,NA,NA,NA,NA,NA,NA,NA,NA,16.85645665,1.3155,4.341584158,NA,NA,NA,22.13115469,GHA,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
GI,Gibraltar,2012,,4/8/2022,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0.13380713,33653,0.13380713,33653,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,0,100,0,0,0,0,NA,5081.270615,5107.211838,NA,0,NA,NA,NA,462.042,NA,NA,NA,NA,0,NA,NA,-100,NA,196.6450146,NA,NA,35.22133791,NA,129.9317982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GIB,Europe & Central Asia,,,,High income,Not classified
GL,Greenland,2012,,4/8/2022,2434,0.593007675,0.002192715,NA,NA,NA,NA,NA,2.2,5.36E-04,NA,NA,NA,-0.140721219,56810,0.382947921,48402,85.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,75.02783359,NA,NA,10.05270004,NA,NA,NA,NA,0,NA,NA,NA,568.385,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,21.17474346,NA,31.70252377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1929018,GRL,Europe & Central Asia,Nuuk,-51.7214,64.1836,High income,Not classified
GM,"Gambia, The",2012,,4/8/2022,6050,59.7826087,43.47826087,NA,NA,NA,NA,NA,2885.36,28.51146245,NA,836,910.3,3.031169712,1905020,4.301861746,1087862,57.105,2.910478884,NA,3,NA,65.6831131,67.7,NA,17.9,NA,50.1972847,NA,NA,NA,NA,NA,0,NA,NA,56.35559845,NA,NA,NA,NA,3.667,0.797173913,0.352268235,460,447.374,97.25521739,0.241467281,0.109768944,0.113060018,0,0,283.9936646,2046.4625,2360,196.6766684,NA,1490,69.17479758,350,50.93040019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1016,3.386666667,NA,NA,NA,27.39357146,GMB,Sub-Saharan Africa,Banjul,-16.5885,13.4495,Low income,IDA
GN,Guinea,2012,,4/8/2022,144000,58.6032883,12.20901839,NA,NA,NA,NA,NA,64970,26.44066417,NA,1651,1152.2,2.197958682,10652032,3.04522515,3648854,34.255,7.928206496,NA,2.6,NA,60.10137939,113,NA,18.8,36.1,26.2,NA,NA,NA,NA,NA,67.37637363,NA,NA,76.35639954,NA,NA,NA,NA,0,0,0.316868755,2490,2423.887,97.34485944,0.233758216,0.130194938,0.116743587,0,0,1322.971695,1.037771735,24010,55.51318586,NA,14930,228.8377532,5890,269.5867006,NA,NA,NA,NA,NA,NA,NA,NA,14.96160545,0.574,0.253982301,NA,NA,NA,16.83167319,GIN,Sub-Saharan Africa,Conakry,-13.7,9.51667,Low income,IDA
GQ,Equatorial Guinea,2012,,4/8/2022,2840,10.12477718,4.278074866,NA,NA,NA,NA,NA,25152.94,89.67180036,NA,2156,NA,4.394052518,1031191,6.609714777,711522,69,4.400756063,NA,NA,NA,44.01268005,103.6,NA,NA,NA,65.66336823,NA,NA,NA,NA,NA,3.414634146,NA,NA,4.390500069,NA,NA,NA,NA,5137.467,51.32334665,0.664233234,10010,759.069,7.583106893,9.707222037,0.258372581,0.264708555,0,0,7844.728443,-100,25380,2519.019567,NA,15160,2414.77618,40,104.1305545,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0198,0.076153846,NA,NA,NA,1.055657092,GNQ,Sub-Saharan Africa,Malabo,8.7741,3.7523,Upper middle income,IBRD
